City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
522,lengshuitan,26.4111,111.5956,88.16,67,100,3.47,CN,1687238196
523,lago da pedra,-4.3333,-45.1667,71.29,97,25,3.11,BR,1687238197
524,suruc,36.9761,38.425,73.04,55,0,7.61,TR,1687238197
525,puqi,29.7167,113.8833,87.33,65,21,4.9,CN,1687238198
526,abepura,-2.6333,140.5833,88.61,58,40,10.36,ID,1687238198
527,zheshart,62.0731,49.5733,45.59,59,100,9.22,RU,1687238198
528,sakassou,7.4546,-5.2926,73.24,98,96,5.39,CI,1687238199
529,geraldton,-28.7667,114.6,64.81,63,100,19.57,AU,1687238199
530,canto do buriti,-8.11,-42.9444,74.59,66,3,7.81,BR,1687238200
531,vila franca do campo,37.7167,-25.4333,66.61,83,83,1.5,PT,1687238200
532,navojoa,27.1,-109.4333,85.01,61,76,1.01,MX,1687238201
533,ribeira brava,32.65,-17.0667,71.01,84,59,7.63,PT,1687238201
534,olyokminsk,60.3736,120.4264,52.7,71,100,11.99,RU,1687238202
535,zhezqazghan,47.7833,67.7667,64.98,32,20,13.42,KZ,1687238202
536,yur'yevets,57.3201,43.1041,52.43,76,94,9.53,RU,1687238203
537,yigo village,13.5361,144.8886,87.12,70,75,13.8,GU,1687238203
538,floro,61.5996,5.0328,64.47,94,75,8.05,NO,1687238203
539,atar,20.5169,-13.0499,84.49,21,1,6.62,MR,1687238204
540,rikaze,29.25,88.8833,62.04,46,79,4.05,CN,1687238204
541,peterhead,57.5058,-1.7981,60.46,92,33,12.55,GB,1687238204
542,albufeira,37.0882,-8.2503,66.04,89,78,6.26,PT,1687238205
543,camarinas,43.1311,-9.1817,56.93,89,10,7.23,ES,1687238205
544,selma,36.5708,-119.6121,69.58,39,0,6.91,US,1687238206
545,ust-nera,64.5667,143.2,78.35,23,100,8.95,RU,1687238206
546,bikin,46.8161,134.26,82.94,39,100,6.6,RU,1687238206
547,idri,27.5,13.2667,75.4,22,0,9.08,LY,1687238207
548,patterson,37.4716,-121.1297,62.02,52,0,6.4,US,1687238207
549,helmstedt,52.2279,11.0099,67.44,87,90,4.74,DE,1687238207
550,fortuna,40.5982,-124.1573,53.98,88,100,4.61,US,1687238208
551,bomdila,27.25,92.4,62.33,97,89,3.49,IN,1687238208
552,barcelos,41.5388,-8.6151,64.85,96,49,1.3,PT,1687238209
553,tofol,5.3248,163.0078,81.63,79,100,12.39,FM,1687238209
554,lerwick,60.1545,-1.1494,55.4,93,37,11.54,GB,1687238209
555,wamba,8.9333,8.6,72.48,96,99,2.48,NG,1687238210
556,kaspiyskiy,45.3929,47.3707,71.37,30,63,9.73,RU,1687238210
557,sannicandro garganico,41.8384,15.5654,70.09,56,1,2.37,IT,1687238211
